gene,cohort,n,rho,lo,hi,p,q,significant_after_FDR,z_diff,p_diff,q_diff,verdict
CAT,LIHC,371,-0.104782461804916,-0.204417775177707,-0.00299829518772986,0.0436957675169456,0.0998760400387327,FALSE,-4.88383863238277,0.00000104040230297624,0.0000166464368476198,significant reversal
CAT,LUAD,515,0.224698303069744,0.141033404036431,0.305176429419846,0.000000256540976152875,0.000004104655618446,TRUE,-4.88383863238277,0.00000104040230297624,0.0000166464368476198,significant reversal
G6PD,LIHC,371,0.0144978087903649,-0.0874474274019598,0.116142523589364,0.780766859546347,0.832817983516104,FALSE,-0.796184590284292,0.425924752869609,0.486771146136696,no significant tissue difference
G6PD,LUAD,515,0.0688021425957165,-0.0177061226551704,0.154287952596765,0.118896189969578,0.211371004390362,FALSE,-0.796184590284292,0.425924752869609,0.486771146136696,no significant tissue difference
GCLC,LIHC,371,-0.122223905809422,-0.221286291826176,-0.0206649135274226,0.0185181931538116,0.0861259092534692,FALSE,-0.886842999706864,0.375163433437175,0.486771146136696,no significant tissue difference
GCLC,LUAD,515,-0.0621499415876133,-0.14775948917098,0.0243840065604466,0.159030059961157,0.254448095937851,FALSE,-0.886842999706864,0.375163433437175,0.486771146136696,no significant tissue difference
GCLM,LIHC,371,-0.0690057234658601,-0.169630074045521,0.0330425844122738,0.184760125004348,0.268742000006324,FALSE,1.18645590088438,0.235442306930486,0.342461537353435,no significant tissue difference
GCLM,LUAD,515,-0.149079967670055,-0.232488303154917,-0.0634948344878304,0.000688982381006904,0.00275592952402762,TRUE,1.18645590088438,0.235442306930486,0.342461537353435,no significant tissue difference
GPX4,LIHC,371,-0.0285659679405814,-0.130004008344451,0.0734638540599125,0.583366049528956,0.666704056604521,FALSE,-1.71977913581047,0.0854725965669329,0.195365935010132,"apparent reversal, NOT significant after FDR"
GPX4,LUAD,515,0.0887240697414906,0.00233899307391299,0.173794761948345,0.0441622563478339,0.0896742065508838,FALSE,-1.71977913581047,0.0854725965669329,0.195365935010132,"apparent reversal, NOT significant after FDR"
GSR,LIHC,371,0.0887388783168737,-0.013196506870917,0.188848774025467,0.0878532173390734,0.140565147742517,FALSE,1.19992008853832,0.230170377314464,0.342461537353435,no significant tissue difference
GSR,LUAD,515,0.00696884996726492,-0.0794820159572336,0.0933156692914168,0.874641187667612,0.874641187667612,FALSE,1.19992008853832,0.230170377314464,0.342461537353435,no significant tissue difference
KEAP1,LIHC,371,-0.0926371584687735,-0.192636374118911,0.0092663958701402,0.0747279740127553,0.132849731578232,FALSE,-2.65695845927327,0.00788491582964144,0.0210264422123772,significant reversal
KEAP1,LUAD,515,0.0884444357813265,0.00205714878475656,0.173521415954069,0.0448371032754419,0.0896742065508838,FALSE,-2.65695845927327,0.00788491582964144,0.0210264422123772,significant reversal
NFE2L2,LIHC,371,-0.00140878203866374,-0.103210131981935,0.100421776207604,0.978425035263025,0.978425035263025,FALSE,-0.301951204071996,0.762689261169621,0.762689261169621,"apparent reversal, NOT significant after FDR"
NFE2L2,LUAD,515,0.0192245484555314,-0.0672902320271317,0.1054523932797,0.663377666663486,0.788136880721257,FALSE,-0.301951204071996,0.762689261169621,0.762689261169621,"apparent reversal, NOT significant after FDR"
NQO1,LIHC,371,0.114002645733143,0.0123296052236301,0.213342467447386,0.0281206712613821,0.0899861480364226,FALSE,1.40445976626125,0.160181984420504,0.284767972303118,no significant tissue difference
NQO1,LUAD,515,0.0185158673646027,-0.0679959217718667,0.104751290910681,0.6750649922749,0.788136880721257,FALSE,1.40445976626125,0.160181984420504,0.284767972303118,no significant tissue difference
PARP16,LIHC,371,-0.130600438116525,-0.229366650094101,-0.0291721935387607,0.0118074897112731,0.0861259092534692,FALSE,-3.61680957280433,0.000298256558446837,0.0023860524675747,significant reversal
PARP16,LUAD,515,0.115311159027497,0.0291990686410141,0.199724267478145,0.00881336402444258,0.0282027648782163,TRUE,-3.61680957280433,0.000298256558446837,0.0023860524675747,significant reversal
PRDX1,LIHC,371,-0.11930994644709,-0.21847217052588,-0.0177089146017244,0.0215314773133673,0.0861259092534692,FALSE,-1.5948018157811,0.11075656088884,0.221513121777681,no significant tissue difference
PRDX1,LUAD,515,-0.0108898899051319,-0.0972014386518535,0.0755842362072202,0.805265995569251,0.858950395273868,FALSE,-1.5948018157811,0.11075656088884,0.221513121777681,no significant tissue difference
SCD,LIHC,371,0.163985373496341,0.0632248441880789,0.261436489802662,0.00152751702354111,0.0244402723766578,TRUE,3.0193954433553,0.00253279700044969,0.008104950401439,significant reversal
SCD,LUAD,515,-0.0408468179189477,-0.126802303532124,0.0457175398923748,0.354916227186791,0.516241784998969,FALSE,3.0193954433553,0.00253279700044969,0.008104950401439,significant reversal
SOD1,LIHC,371,-0.0479754708123173,-0.149063497706362,0.0541049686047553,0.35679714077159,0.439134942488111,FALSE,-0.444396967299162,0.656755605669199,0.700539312713813,no significant tissue difference
SOD1,LUAD,515,-0.0176398880066179,-0.103884560907269,0.0688680840022504,0.6896197706311,0.788136880721257,FALSE,-0.444396967299162,0.656755605669199,0.700539312713813,no significant tissue difference
SOD2,LIHC,371,0.107665040577565,0.00591371286553056,0.207209752973722,0.0381903536623118,0.0998760400387327,FALSE,3.13155838984536,0.00173881205793053,0.00695524823172211,significant reversal
SOD2,LUAD,515,-0.10553596148832,-0.190204564939147,-0.019309025792976,0.016581123939605,0.0442163305056133,TRUE,3.13155838984536,0.00173881205793053,0.00695524823172211,significant reversal
TXN,LIHC,371,-0.0949593414626185,-0.194891210341676,0.00692375419858815,0.0676991039778646,0.132849731578232,FALSE,0.823408623957261,0.410275660518372,0.486771146136696,no significant tissue difference
TXN,LUAD,515,-0.150370058676946,-0.233736265162252,-0.0648090783356252,0.000617899529747653,0.00275592952402762,TRUE,0.823408623957261,0.410275660518372,0.486771146136696,no significant tissue difference
TXNRD1,LIHC,371,0.0492434399458249,-0.052837630255951,0.150305993184892,0.344215467590665,0.439134942488111,FALSE,3.2155151437532,0.00130210624423577,0.00694456663592412,significant reversal
TXNRD1,LUAD,515,-0.168836502742497,-0.251569617244292,-0.0836538359115388,0.000118179646080342,0.000945437168642734,TRUE,3.2155151437532,0.00130210624423577,0.00694456663592412,significant reversal
