cohort,n,events,HR_perSD,CI_low,CI_high,p_cox,q_cox,n_tumor,n_normal,log2FC,p_TvsN,q_TvsN,direction_survival,significant_after_FDR,overlap_with_primary,logHR,vj,hj
BRCA,1081,151,1.00403941267496,0.862948638487783,1.16819831128216,0.958388075474567,0.958388075474567,1081,113,-0.82,0.000000000000000000000000000620901030264911,0.00000000000000000000000000496720824211929,adverse,FALSE,"",0.00581590211208623,-1.15,0.5
LUAD,502,182,0.986097346467517,0.854983430299378,1.13731792014939,0.847485955570694,0.958388075474567,502,59,-0.819999999999999,0.000000000000000000000000756924256587014,0.00000000000000000000000403692936846407,protective,FALSE,"",-0.0201980199539509,2.05,0.5
BLCA,406,178,1.10296656014666,0.947845188120914,1.28347460961797,0.205044113581092,0.410088227162183,406,19,-0.810000000000001,0.0000000284867237393597,0.0000000651125114042507,adverse,FALSE,"",0.141389051816059,3.55,0.5
UCEC,530,87,0.993898419237373,0.80190417537183,1.2318604867028,0.9554333233093,0.958388075474567,530,22,-0.780000000000001,0.000000136361714973163,0.000000272723429946325,protective,FALSE,"",-0.00882968530429288,-1.15,0.5
LUSC,494,212,1.06446738267334,0.932926697377774,1.21455502555589,0.3532435458941,0.608945281254896,494,51,-0.724999999999998,0.00000000000000000000501381691144338,0.0000000000000000000200552676457735,adverse,FALSE,"",0.0901317435183719,2.05,0.5
READ,153,23,1.47980144092661,0.965718849488006,2.26754640414178,0.0718966837288889,0.223678571600988,153,10,-0.504999999999999,0.00201550782356964,0.00268734376475952,adverse,FALSE,"",0.565403608686528,3.55,0.5
COAD,432,97,1.01591210100919,0.82815202905239,1.24624146385036,0.87964578479806,0.958388075474567,432,39,-0.440000000000001,0.000000000807046940889523,0.0000000021521251757054,adverse,FALSE,"",0.0227755823030047,-1.15,0.5
PRAD,497,10,0.649177996293766,0.352081492382838,1.19697308716739,0.166355103130474,0.38816190730444,497,52,-0.404999999999999,0.000000000000872686746573472,0.00000000000279259758903511,protective,FALSE,"",-0.62331399391683,2.05,0.5
STAD,389,156,1.11046904419958,0.951825628944346,1.29555399710469,0.182787237034722,0.393695587459401,389,33,-0.32,0.00000249084229990194,0.00000442816408871456,adverse,FALSE,"",0.151169176403829,3.55,0.5
ESCA,184,77,0.797774519960522,0.63715940356405,0.998877488330537,0.0488663348894577,0.193642691681401,184,11,-0.310000000000001,0.00585816318354582,0.00721004699513332,protective,FALSE,"",-0.325947048817044,-1.15,0.5
THCA,504,16,1.27754056930272,0.748074356095489,2.18174823520617,0.369716777904759,0.608945281254896,504,59,-0.139999999999999,0.000168320895451707,0.000244830393384301,adverse,FALSE,"",0.353369105802832,2.05,0.5
LIHC,365,130,1.20448294499802,1.00523983514525,1.44321694591568,0.0437361688556284,0.193642691681401,365,50,-0.0599999999999987,0.10375668780223,0.110673800322378,adverse,FALSE,SAME PATIENTS as the primary TCGA-LIHC analysis - not an independent replication,0.268413965729993,3.55,0.5
HNSC,519,220,1.19375371790508,1.04506611004332,1.36359597284532,0.00906895040847114,0.146002741836804,519,44,-0.0499999999999989,0.81379658463919,0.81379658463919,adverse,FALSE,"",0.25550522637969,-1.15,0.5
KIRP,287,44,0.749082526610489,0.557443236908815,1.00660407108848,0.0553264833375431,0.193642691681401,287,32,0.385,0.0000379980615905495,0.0000607968985448792,protective,FALSE,"",-0.41680342537159,2.05,0.5
KIRC,531,175,1.20965670528043,1.03105325699683,1.41919860560065,0.0195358275107813,0.146002741836804,531,72,0.935,0,0,adverse,FALSE,"",0.274597675714418,3.55,0.5
