cohort,gene,rho,kind
LIHC,SCD,0.163985373496341,Unadjusted
LIHC,PARP16,-0.130600438116525,Unadjusted
LIHC,NQO1,0.114002645733143,Unadjusted
LIHC,NFE2L2,-0.00140878203866374,Unadjusted
LIHC,KEAP1,-0.0926371584687735,Unadjusted
LIHC,GCLC,-0.122223905809422,Unadjusted
LIHC,GCLM,-0.0690057234658601,Unadjusted
LIHC,GSR,0.0887388783168737,Unadjusted
LIHC,GPX4,-0.0285659679405814,Unadjusted
LIHC,TXN,-0.0949593414626185,Unadjusted
LIHC,TXNRD1,0.0492434399458249,Unadjusted
LIHC,SOD1,-0.0479754708123173,Unadjusted
LIHC,SOD2,0.107665040577565,Unadjusted
LIHC,CAT,-0.104782461804916,Unadjusted
LIHC,PRDX1,-0.11930994644709,Unadjusted
LIHC,G6PD,0.0144978087903649,Unadjusted
LUAD,SCD,-0.0408468179189477,Unadjusted
LUAD,PARP16,0.115311159027497,Unadjusted
LUAD,NQO1,0.0185158673646027,Unadjusted
LUAD,NFE2L2,0.0192245484555314,Unadjusted
LUAD,KEAP1,0.0884444357813265,Unadjusted
LUAD,GCLC,-0.0621499415876133,Unadjusted
LUAD,GCLM,-0.149079967670055,Unadjusted
LUAD,GSR,0.00696884996726492,Unadjusted
LUAD,GPX4,0.0887240697414906,Unadjusted
LUAD,TXN,-0.150370058676946,Unadjusted
LUAD,TXNRD1,-0.168836502742497,Unadjusted
LUAD,SOD1,-0.0176398880066179,Unadjusted
LUAD,SOD2,-0.10553596148832,Unadjusted
LUAD,CAT,0.224698303069744,Unadjusted
LUAD,PRDX1,-0.0108898899051319,Unadjusted
LUAD,G6PD,0.0688021425957165,Unadjusted
LIHC,SCD,0.194814789155137,Composition-adjusted
LIHC,PARP16,-0.102357977977838,Composition-adjusted
LIHC,NQO1,0.0890123814617338,Composition-adjusted
LIHC,NFE2L2,0.00145380332828461,Composition-adjusted
LIHC,KEAP1,-0.0712832260710537,Composition-adjusted
LIHC,GCLC,-0.0907405681392251,Composition-adjusted
LIHC,GCLM,-0.0694258901532851,Composition-adjusted
LIHC,GSR,0.0690978025339278,Composition-adjusted
LIHC,GPX4,-0.00203231227202466,Composition-adjusted
LIHC,TXN,-0.0810453051477995,Composition-adjusted
LIHC,TXNRD1,0.0459719277363464,Composition-adjusted
LIHC,SOD1,-0.01114670595748,Composition-adjusted
LIHC,SOD2,0.0626313076238687,Composition-adjusted
LIHC,CAT,-0.0762871490203705,Composition-adjusted
LIHC,PRDX1,-0.121086359304484,Composition-adjusted
LIHC,G6PD,-0.0167020660366987,Composition-adjusted
LUAD,SCD,-0.022578695765532,Composition-adjusted
LUAD,PARP16,0.14493707969049,Composition-adjusted
LUAD,NQO1,0.0577123742535849,Composition-adjusted
LUAD,NFE2L2,0.00951509950796751,Composition-adjusted
LUAD,KEAP1,0.106692120155249,Composition-adjusted
LUAD,GCLC,-0.0506631189138788,Composition-adjusted
LUAD,GCLM,-0.146031081510142,Composition-adjusted
LUAD,GSR,0.0397541146173586,Composition-adjusted
LUAD,GPX4,0.102073030746267,Composition-adjusted
LUAD,TXN,-0.119619610880134,Composition-adjusted
LUAD,TXNRD1,-0.156566144597427,Composition-adjusted
LUAD,SOD1,0.0221451854285051,Composition-adjusted
LUAD,SOD2,-0.180461415976222,Composition-adjusted
LUAD,CAT,0.224968509526355,Composition-adjusted
LUAD,PRDX1,0.0144290978026754,Composition-adjusted
LUAD,G6PD,0.0864136054532007,Composition-adjusted
