model,term,chisq,df,p
CYB5R3,z5,0.0138902868587306,1,0.906180916304174
CYB5R3,age,0.269354447540138,1,0.603765143345978
CYB5R3,sex,2.53720944482597,1,0.111191146041302
CYB5R3,stage_bin,1.34141864214172,1,0.24678394270686
CYB5R3,GLOBAL,4.54874600967828,4,0.336806531837679
MTARC1,zm,0.000705859786042902,1,0.978804279103315
MTARC1,age,0.30219905279357,1,0.58250708529572
MTARC1,sex,3.40115452458847,1,0.0651508037324634
MTARC1,stage_bin,0.364540475031367,1,0.545995321794614
MTARC1,GLOBAL,4.42183065906209,4,0.351917226280185
