cohort,gene,n,rho,lo,hi,p,q,significant_after_FDR
LIHC,SCD,371,0.163985373496341,0.0632248441880789,0.261436489802662,0.00152751702354111,0.0244402723766578,TRUE
LIHC,PARP16,371,-0.130600438116525,-0.229366650094101,-0.0291721935387607,0.0118074897112731,0.0861259092534692,FALSE
LIHC,NQO1,371,0.114002645733143,0.0123296052236301,0.213342467447386,0.0281206712613821,0.0899861480364226,FALSE
LIHC,NFE2L2,371,-0.00140878203866374,-0.103210131981935,0.100421776207604,0.978425035263025,0.978425035263025,FALSE
LIHC,KEAP1,371,-0.0926371584687735,-0.192636374118911,0.0092663958701402,0.0747279740127553,0.132849731578232,FALSE
LIHC,GCLC,371,-0.122223905809422,-0.221286291826176,-0.0206649135274226,0.0185181931538116,0.0861259092534692,FALSE
LIHC,GCLM,371,-0.0690057234658601,-0.169630074045521,0.0330425844122738,0.184760125004348,0.268742000006324,FALSE
LIHC,GSR,371,0.0887388783168737,-0.013196506870917,0.188848774025467,0.0878532173390734,0.140565147742517,FALSE
LIHC,GPX4,371,-0.0285659679405814,-0.130004008344451,0.0734638540599125,0.583366049528956,0.666704056604521,FALSE
LIHC,TXN,371,-0.0949593414626185,-0.194891210341676,0.00692375419858815,0.0676991039778646,0.132849731578232,FALSE
LIHC,TXNRD1,371,0.0492434399458249,-0.052837630255951,0.150305993184892,0.344215467590665,0.439134942488111,FALSE
LIHC,SOD1,371,-0.0479754708123173,-0.149063497706362,0.0541049686047553,0.35679714077159,0.439134942488111,FALSE
LIHC,SOD2,371,0.107665040577565,0.00591371286553056,0.207209752973722,0.0381903536623118,0.0998760400387327,FALSE
LIHC,CAT,371,-0.104782461804916,-0.204417775177707,-0.00299829518772986,0.0436957675169456,0.0998760400387327,FALSE
LIHC,PRDX1,371,-0.11930994644709,-0.21847217052588,-0.0177089146017244,0.0215314773133673,0.0861259092534692,FALSE
LIHC,G6PD,371,0.0144978087903649,-0.0874474274019598,0.116142523589364,0.780766859546347,0.832817983516104,FALSE
LUAD,SCD,515,-0.0408468179189477,-0.126802303532124,0.0457175398923748,0.354916227186791,0.516241784998969,FALSE
LUAD,PARP16,515,0.115311159027497,0.0291990686410141,0.199724267478145,0.00881336402444258,0.0282027648782163,TRUE
LUAD,NQO1,515,0.0185158673646027,-0.0679959217718667,0.104751290910681,0.6750649922749,0.788136880721257,FALSE
LUAD,NFE2L2,515,0.0192245484555314,-0.0672902320271317,0.1054523932797,0.663377666663486,0.788136880721257,FALSE
LUAD,KEAP1,515,0.0884444357813265,0.00205714878475656,0.173521415954069,0.0448371032754419,0.0896742065508838,FALSE
LUAD,GCLC,515,-0.0621499415876133,-0.14775948917098,0.0243840065604466,0.159030059961157,0.254448095937851,FALSE
LUAD,GCLM,515,-0.149079967670055,-0.232488303154917,-0.0634948344878304,0.000688982381006904,0.00275592952402762,TRUE
LUAD,GSR,515,0.00696884996726492,-0.0794820159572336,0.0933156692914168,0.874641187667612,0.874641187667612,FALSE
LUAD,GPX4,515,0.0887240697414906,0.00233899307391299,0.173794761948345,0.0441622563478339,0.0896742065508838,FALSE
LUAD,TXN,515,-0.150370058676946,-0.233736265162252,-0.0648090783356252,0.000617899529747653,0.00275592952402762,TRUE
LUAD,TXNRD1,515,-0.168836502742497,-0.251569617244292,-0.0836538359115388,0.000118179646080342,0.000945437168642734,TRUE
LUAD,SOD1,515,-0.0176398880066179,-0.103884560907269,0.0688680840022504,0.6896197706311,0.788136880721257,FALSE
LUAD,SOD2,515,-0.10553596148832,-0.190204564939147,-0.019309025792976,0.016581123939605,0.0442163305056133,TRUE
LUAD,CAT,515,0.224698303069744,0.141033404036431,0.305176429419846,0.000000256540976152875,0.000004104655618446,TRUE
LUAD,PRDX1,515,-0.0108898899051319,-0.0972014386518535,0.0755842362072202,0.805265995569251,0.858950395273868,FALSE
LUAD,G6PD,515,0.0688021425957165,-0.0177061226551704,0.154287952596765,0.118896189969578,0.211371004390362,FALSE
