gene,n_adj_LIHC,rho_adjusted_LIHC,n_adj_LUAD,rho_adjusted_LUAD,z_diff,p_diff,d_lo,d_hi,q_diff,sign_reversal
CAT,371,-0.0762871490203705,515,0.224968509526355,-4.46757071544811,0.00000791128632576426,-0.413035247885831,-0.169714607462209,0.000126580581212228,TRUE
G6PD,371,-0.0167020660366987,515,0.0864136054532007,-1.51202090042104,0.130528545642331,-0.232924510395925,0.0306033976163924,0.232050747808588,TRUE
GCLC,371,-0.0907405681392251,515,-0.0506631189138788,-0.58945900631326,0.555553403828526,-0.172488714268487,0.0933889944616253,0.711149690012352,FALSE
GCLM,371,-0.0694258901532851,515,-0.146031081510142,1.13467250817559,0.256512560279554,-0.056341659373539,0.208393283506667,0.410420096447286,FALSE
GPX4,371,-0.00203231227202466,515,0.102073030746267,-1.52853786483322,0.12637904976959,-0.233991776990934,0.0294756275562737,0.232050747808588,TRUE
GSR,371,0.0690978025339278,515,0.0397541146173586,0.430677564208898,0.66670283438658,-0.104134354126101,0.161940927289698,0.711149690012352,FALSE
KEAP1,371,-0.0712832260710537,515,0.106692120155249,-2.61195496474654,0.00900261124122734,-0.302664597789266,-0.0445283651969158,0.0240069633099396,TRUE
NFE2L2,371,0.00145380332828461,515,0.00951509950796751,-0.117960837487699,0.90609868833169,-0.141060876167947,0.125223886460343,0.90609868833169,FALSE
NQO1,371,0.0890123814617338,515,0.0577123742535849,0.460513236130161,0.645147873071652,-0.10211703457983,0.163925801409503,0.711149690012352,FALSE
PARP16,371,-0.102357977977838,515,0.14493707969049,-3.63884093801811,0.000273867881996904,-0.364988347798911,-0.114235581586805,0.00178070416386493,TRUE
PRDX1,371,-0.121086359304484,515,0.0144290978026754,-1.99167637793609,0.0464065771534517,-0.263680430743014,-0.00216725885764668,0.106072176350747,TRUE
SCD,371,0.194814789155137,515,-0.022578695765532,3.21796633107513,0.00129102971585795,0.0857621621745885,0.33979950594085,0.0051641188634318,TRUE
SOD1,371,-0.01114670595748,515,0.0221451854285051,-0.487202244314653,0.626115015039484,-0.165700214302681,0.100311762170756,0.711149690012352,TRUE
SOD2,371,0.0626313076238687,515,-0.180461415976222,3.58748570554432,0.000333882030724674,0.110770329993466,0.361942328273712,0.00178070416386493,TRUE
TXN,371,-0.0810453051477995,515,-0.119619610880134,0.570251344199547,0.568507236447332,-0.0946900599362864,0.171214807499056,0.711149690012352,FALSE
TXNRD1,371,0.0459719277363464,515,-0.156566144597427,2.98310569622583,0.00285339436268424,0.0698089749467352,0.325525496998007,0.00913086196058955,TRUE
