cohort,n,events,HR_perSD,CI_low,CI_high,p_cox,q_cox,n_tumor,n_normal,log2FC,p_TvsN,q_TvsN,direction_survival,significant_after_FDR,overlap_with_primary
HNSC,519,220,1.19375371790508,1.04506611004332,1.36359597284532,0.00906895040847114,0.146002741836804,519,44,-0.0499999999999989,0.81379658463919,0.81379658463919,adverse,FALSE,""
KIRC,531,175,1.20965670528043,1.03105325699683,1.41919860560065,0.0195358275107813,0.146002741836804,531,72,0.935,0,0,adverse,FALSE,""
MESO,85,73,1.29481573396657,1.03998185045522,1.61209331123762,0.0208575345481148,0.146002741836804,,,,,,adverse,FALSE,""
SKCM,453,213,1.18178786398424,1.03238431175271,1.3528126488956,0.0154295708888419,0.146002741836804,,,,,,adverse,FALSE,""
LAML,149,92,1.25701614638424,1.02622085433982,1.53971689971861,0.027102440282487,0.151773665581927,,,,,,adverse,FALSE,""
ESCA,184,77,0.797774519960522,0.63715940356405,0.998877488330537,0.0488663348894577,0.193642691681401,184,11,-0.310000000000001,0.00585816318354582,0.00721004699513332,protective,FALSE,""
KIRP,287,44,0.749082526610489,0.557443236908815,1.00660407108848,0.0553264833375431,0.193642691681401,287,32,0.385,0.0000379980615905495,0.0000607968985448792,protective,FALSE,""
LIHC,365,130,1.20448294499802,1.00523983514525,1.44321694591568,0.0437361688556284,0.193642691681401,365,50,-0.0599999999999987,0.10375668780223,0.110673800322378,adverse,FALSE,SAME PATIENTS as the primary TCGA-LIHC analysis - not an independent replication
READ,153,23,1.47980144092661,0.965718849488006,2.26754640414178,0.0718966837288889,0.223678571600988,153,10,-0.504999999999999,0.00201550782356964,0.00268734376475952,adverse,FALSE,""
LGG,511,125,0.859857379507975,0.70967103045675,1.04182738390556,0.123171798639352,0.344881036190184,,,,,,protective,FALSE,""
SARC,259,98,0.8502449638998,0.68531238782708,1.0548714885034,0.140358294408672,0.357275658494801,,,,,,protective,FALSE,""
PRAD,497,10,0.649177996293766,0.352081492382838,1.19697308716739,0.166355103130474,0.38816190730444,497,52,-0.404999999999999,0.000000000000872686746573472,0.00000000000279259758903511,protective,FALSE,""
STAD,389,156,1.11046904419958,0.951825628944346,1.29555399710469,0.182787237034722,0.393695587459401,389,33,-0.32,0.00000249084229990194,0.00000442816408871456,adverse,FALSE,""
BLCA,406,178,1.10296656014666,0.947845188120914,1.28347460961797,0.205044113581092,0.410088227162183,406,19,-0.810000000000001,0.0000000284867237393597,0.0000000651125114042507,adverse,FALSE,""
PAAD,177,93,0.900480195970424,0.740336594064223,1.09526476178022,0.294086975036542,0.548962353401544,,,,,,protective,FALSE,""
LUSC,494,212,1.06446738267334,0.932926697377774,1.21455502555589,0.3532435458941,0.608945281254896,494,51,-0.724999999999998,0.00000000000000000000501381691144338,0.0000000000000000000200552676457735,adverse,FALSE,""
THCA,504,16,1.27754056930272,0.748074356095489,2.18174823520617,0.369716777904759,0.608945281254896,504,59,-0.139999999999999,0.000168320895451707,0.000244830393384301,adverse,FALSE,""
CHOL,36,18,1.18759082587674,0.733333925109428,1.92323295215907,0.484557611659344,0.753756284803424,,,,,,adverse,FALSE,""
UVM,80,23,1.11923703776097,0.728711869088965,1.71904918779771,0.606902173521862,0.894382150453271,,,,,,adverse,FALSE,""
ACC,79,28,0.934878632343052,0.645983064621522,1.35297363828522,0.721054430654844,0.958388075474567,,,,,,protective,FALSE,""
BRCA,1081,151,1.00403941267496,0.862948638487783,1.16819831128216,0.958388075474567,0.958388075474567,1081,113,-0.82,0.000000000000000000000000000620901030264911,0.00000000000000000000000000496720824211929,adverse,FALSE,""
CESC,291,71,0.988558918394162,0.781918720781258,1.24980859156335,0.923379618676041,0.958388075474567,,,,,,protective,FALSE,""
COAD,432,97,1.01591210100919,0.82815202905239,1.24624146385036,0.87964578479806,0.958388075474567,432,39,-0.440000000000001,0.000000000807046940889523,0.0000000021521251757054,adverse,FALSE,""
GBM,160,128,1.02898446721638,0.861798199052232,1.22860437041644,0.752122614161187,0.958388075474567,,,,,,adverse,FALSE,""
LUAD,502,182,0.986097346467517,0.854983430299378,1.13731792014939,0.847485955570694,0.958388075474567,502,59,-0.819999999999999,0.000000000000000000000000756924256587014,0.00000000000000000000000403692936846407,protective,FALSE,""
OV,304,184,0.978260580959238,0.84511933159013,1.1323770839061,0.768409221949393,0.958388075474567,,,,,,protective,FALSE,""
UCEC,530,87,0.993898419237373,0.80190417537183,1.2318604867028,0.9554333233093,0.958388075474567,530,22,-0.780000000000001,0.000000136361714973163,0.000000272723429946325,protective,FALSE,""
UCS,56,35,0.960854233265532,0.700580931418602,1.31782184781254,0.804330328541283,0.958388075474567,,,,,,protective,FALSE,""
