gene,histology,k_cohorts,n_total,rho_pooled,lo,hi,p,I2,tau2,q
COL1A1,fibrosis stage,3,393,0.377165742323736,0.219809359686845,0.515393522985964,0.00000721519514140569,62.2950358397558,0.0145435558461609,0.00003094547550153
COL1A1,NAFLD activity score,3,396,0.473035775440392,0.374470620438346,0.561030132141266,0.0000000000000000578327532826059,26.2065921566662,0.00308937642556416,0.000000000000000925324052521695
CYB5R3,fibrosis stage,3,393,0.0081554425127627,-0.243072220916046,0.258357772266156,0.950249490023231,82.6839925640084,0.0420329015725659,0.950249490023231
CYB5R3,NAFLD activity score,3,396,0.109853247083117,-0.147378450702308,0.353166037371693,0.4034611885559,83.2254100386013,0.0431600436853078,0.496567616684184
FASN,fibrosis stage,3,393,0.0267132252186991,-0.0731684182268665,0.126064320663248,0.60056044204589,0,0,0.640597804848949
FASN,NAFLD activity score,3,396,0.19037420483031,0.09282683779791,0.28430181758299,0.000149827474016559,0,0,0.00047944791685299
MTARC1,fibrosis stage,3,393,-0.224346962801173,-0.316945457282843,-0.127511894547493,0.00000773636887538251,0,0,0.00003094547550153
MTARC1,NAFLD activity score,3,396,-0.192650233408132,-0.370614711477238,-0.00104070504545382,0.0487838925507056,70.180523935307,0.0204736107794222,0.0867269200901433
NQO1,fibrosis stage,3,393,0.210926868819376,-0.0728392595532754,0.463100305960148,0.143784488076532,86.2243498411346,0.055097706145134,0.209141073565865
NQO1,NAFLD activity score,3,396,0.203690160405427,-0.0519823924720195,0.434303273406741,0.117432835971754,83.2059759061455,0.0431000319315581,0.187892537554806
PARP16,fibrosis stage,3,393,-0.168531420832205,-0.26378658744289,-0.0700209190279155,0.000855032577096839,0.000117175226992058,0.0000000103145909012086,0.00228008687225824
PARP16,NAFLD activity score,3,396,-0.094437567636024,-0.321270640262003,0.142644233591302,0.436034481872733,80.2196905611619,0.0352797700841127,0.498325122140266
SCD,fibrosis stage,3,393,0.130786733736785,0.0315107627776108,0.227507357760915,0.00994744667270069,0,0,0.022737020966173
SCD,NAFLD activity score,3,396,0.110612369663478,-0.0902891683703505,0.302863582190558,0.280238882381498,72.3608010363353,0.0227748622439391,0.373651843175331
TGFB1,fibrosis stage,3,393,0.178168706224013,0.0252791491663633,0.322913969208986,0.0226026215501138,53.0695951300268,0.00995421848184566,0.0452052431002276
TGFB1,NAFLD activity score,3,396,0.300457868036499,0.175188381779826,0.416153930406988,0.00000491502309420602,38.251853076152,0.00538897780935287,0.00003094547550153
