cohort,gene,histology_raw,histology,n,n_groups,rho,p_trend,p_kruskal,q_trend
GSE130970,COL1A1,cytological.ballooning.grade,ballooning grade,78,3,0.416187807581095,0.000150777438642936,0.00105135881106041,0.00126423914882811
GSE130970,COL1A1,fibrosis.stage,fibrosis stage,78,5,0.424742940816834,0.00010623886689995,0.000876938844769123,0.00126423914882811
GSE135251,COL1A1,fibrosis.stage,fibrosis stage,216,5,0.45999662873482,0.00000000000104314813729159,0.0000000018090620266671,0.0000000000751066658849942
GSE162694,COL1A1,fibrosis.stage,fibrosis stage,99,5,0.212232971298116,0.0349479456252541,0.0222323376728386,0.0762500631823725
GSE130970,COL1A1,lobular.inflammation.grade,lobular inflammation grade,78,3,0.264959387069667,0.0190605783154639,0.0245152644241174,0.0473228151280482
GSE130970,COL1A1,nafld.activity.score,NAFLD activity score,78,7,0.39958832744989,0.000289729915358954,0.0285317266953424,0.00208605539058447
GSE135251,COL1A1,nas.score,NAFLD activity score,216,9,0.442110939921759,0.00000000000946790824070847,0.000000506969006578667,0.000000000227229797777003
GSE162694,COL1A1,nas.score,NAFLD activity score,102,8,0.573825644616508,0.000000000289058416837733,0.00000167554463560401,0.00000000520305150307919
GSE130970,COL1A1,steatosis.grade,steatosis grade,78,4,0.168487372545971,0.140325509371157,0.423546516152632,0.240558016064841
GSE130970,CYB5R3,cytological.ballooning.grade,ballooning grade,78,3,0.312584524042527,0.00533157588218832,0.0184807628207984,0.019193673175878
GSE130970,CYB5R3,fibrosis.stage,fibrosis stage,78,5,0.245889185423506,0.0300062529372325,0.017653231709809,0.0675140691087731
GSE135251,CYB5R3,fibrosis.stage,fibrosis stage,216,5,0.0104267826830499,0.878905576612608,0.305767053302917,0.925854581557013
GSE162694,CYB5R3,fibrosis.stage,fibrosis stage,99,5,-0.220780551684513,0.0280909320557334,0.0231824131212073,0.0652434550971872
GSE130970,CYB5R3,lobular.inflammation.grade,lobular inflammation grade,78,3,0.0926943169641626,0.419564676864381,0.362938339004056,0.545463678069234
GSE130970,CYB5R3,nafld.activity.score,NAFLD activity score,78,7,0.333076139371266,0.00288495856197876,0.0226718689233405,0.011539834247915
GSE135251,CYB5R3,nas.score,NAFLD activity score,216,9,0.126796510071958,0.062854044872947,0.000184249968987613,0.122310573806816
GSE162694,CYB5R3,nas.score,NAFLD activity score,102,8,-0.130561436708297,0.190886507292825,0.00230304036879245,0.292421883512412
GSE130970,CYB5R3,steatosis.grade,steatosis grade,78,4,0.263172398405271,0.0199148187905127,0.0500696208366659,0.0477955650972305
GSE130970,FASN,cytological.ballooning.grade,ballooning grade,78,3,0.269266359033278,0.0171297208451192,0.0511065852442411,0.0456792555869845
GSE130970,FASN,fibrosis.stage,fibrosis stage,78,5,-0.0306005426603126,0.790273382445683,0.104301214313278,0.884907143658292
GSE135251,FASN,fibrosis.stage,fibrosis stage,216,5,0.0306162139732675,0.654543964809121,0.100392935907162,0.760115572036399
GSE162694,FASN,fibrosis.stage,fibrosis stage,99,5,0.0627589160806903,0.537154552161791,0.753880965756748,0.666812547511189
GSE130970,FASN,lobular.inflammation.grade,lobular inflammation grade,78,3,-0.091767373794521,0.424249527387182,0.244532112492282,0.545463678069234
GSE130970,FASN,nafld.activity.score,NAFLD activity score,78,7,0.166074390605302,0.146179008770573,0.0417108367122906,0.244764851894912
GSE135251,FASN,nas.score,NAFLD activity score,216,9,0.165889549043679,0.0146524283316715,0.000124759688908958,0.042198993595214
GSE162694,FASN,nas.score,NAFLD activity score,102,8,0.260036920349751,0.0083041354425271,0.0215062736708754,0.0259955544287805
GSE130970,FASN,steatosis.grade,steatosis grade,78,4,0.135144383847876,0.238114024708125,0.0459323095995472,0.357171037062188
GSE130970,MTARC1,cytological.ballooning.grade,ballooning grade,78,3,-0.109881863010734,0.338220971832664,0.502597275155324,0.468305960999073
GSE130970,MTARC1,fibrosis.stage,fibrosis stage,78,5,-0.323402622279006,0.00387520940142327,0.00195593771615491,0.0146850040474987
GSE135251,MTARC1,fibrosis.stage,fibrosis stage,216,5,-0.179555924758689,0.00816565306499989,0.0338605137284478,0.0259955544287805
GSE162694,MTARC1,fibrosis.stage,fibrosis stage,99,5,-0.243126916551192,0.0153141888104713,0.0114426338045869,0.0424085228597668
GSE130970,MTARC1,lobular.inflammation.grade,lobular inflammation grade,78,3,-0.341407805323795,0.00222057551938629,0.00774205336233544,0.0094047904350478
GSE130970,MTARC1,nafld.activity.score,NAFLD activity score,78,7,-0.222115159453112,0.0506438134241477,0.308408319439988,0.101287626848295
GSE135251,MTARC1,nas.score,NAFLD activity score,216,9,-0.0387651439826583,0.57096142503125,0.705743592483168,0.6851537100375
